"","FINAL_ID","length","ridership","avg_speed","avg_speed_q10","avg_speed_q50","avg_speed_q90","trips","avg_load","avg_load_q10","avg_load_q50","avg_load_q90","service_hours","avg_speed_sd","riders_per_m","riders_per_km","avg_speed_cv","routes_str","stops_str","riders_per_service_hour","service_hour_km","low_inc_riders","rider_norm","equity_norm","reliability_norm","speed_norm","service_norm","final_score","rank","name","extents","comment"
"12","207111",2603.17442901839,18047.2228641458,10.6469270740004,8.33684935030696,10.4118104525293,13.640500634614,507,18.6369648275182,7.09975378787879,16.6507936507936,32.2036098310292,79.58,2.59663965459107,6.93277510064936,6932.77510064936,0.243886300389154,"18, 26, 57","NA, SEPTA373, SEPTA382, SEPTA15910, SEPTA379, SEPTA15896, SEPTA30996, SEPTA16739, SEPTA15698, SEPTA16962, SEPTA15818, SEPTA15697, SEPTA15899, SEPTA15822, SEPTA15898, SEPTA16959, SEPTA15820, SEPTA16960, SEPTA15817, SEPTA15819, SEPTA16961, SEPTA32312, SEPTA381, SEPTA15795, SEPTA16964, SEPTA15814, SEPTA16965, SEPTA15815, SEPTA15800, SEPTA16966, SEPTA16963, SEPTA15799, SEPTA28699, SEPTA15907, SEPTA15798, SEPTA15796, SEPTA15908",226.780885450437,30.5703678988612,2153.63899152986,10,10,5.94763276044549,4.81586402266289,10,8.84543709788855,12,"Olney Avenue","Broad to Rising Sun",NA
"13","203121",814.038503609792,9546.19980693645,7.8156600626604,4.40795415181204,7.14824879300012,11.1026401940977,437,20.971296393352,10.6695726495726,20.7142857142857,31.6569149688738,10.55,3.06785739237103,11.7269634846565,11726.9634846565,0.392526973764869,"22, 55, 710, 6","NA, SEPTA11217, SEPTA16595, SEPTA16926, SEPTA16597, SEPTA17201, SEPTA16599, SEPTA16925, SEPTA16598, SEPTA19064",904.853062268858,12.960074926698,3503.35604297306,10,10,9.57251918126305,8.86685552407932,5.78740174160374,8.75177227356873,13,"Old York Road","Stenton to Broad & Olney",NA
"14","207211",830.14078902282,10972.3453460542,12.0323695038306,9.71922982687088,11.4573982929015,14.9597611723621,457,20.4010298947729,10.8533333333333,20.0727272727273,30.2125862068965,16.89,3.32927026589918,13.2174511735173,13217.4511735173,0.276692821379803,"18, 26","SEPTA15792, SEPTA15791, SEPTA15914, SEPTA15793, SEPTA15913, NA, SEPTA15789, SEPTA15915, SEPTA15912, SEPTA15794, SEPTA372, SEPTA15911",649.635603674022,20.3459464025152,4093.54736665504,10,10,6.74768236835246,3.22946175637394,9.08560840199509,8.51854511608957,14,"Olney Avenue","Broad to Chew",NA
"15","108311",530.166324593817,5121.64347089185,8.12073173627892,6.31886137947887,7.86136498292303,9.66705162340343,272,18.1871117944675,4.73347763347763,16.4166666666667,33.7773076028831,6.42,2.23307014589649,9.66044660572463,9660.44660572463,0.274983858402854,"33, 49, 38","NA, SEPTA14916, SEPTA22329, SEPTA2836, SEPTA2799, SEPTA22328, SEPTA20962",797.763780512748,12.1094073730893,3582.11954583238,10,10,6.70600604552551,8.55524079320113,5.40753087595472,8.25953857382951,15,"20th Street","JFK to Parkway",NA
"16","100112",1415.40681500011,5593.4461140167,5.58777370164754,4.03312195279829,5.09243547502177,8.03955971082751,289,12.1057937635074,5.725,12.975,17.15,35.07,1.68363144481471,3.95182929369763,3951.82929369763,0.301306304569617,"9, 21, 42","NA, SEPTA6066, SEPTA6065, SEPTA6060, SEPTA2666, SEPTA6062, SEPTA14906",159.493758597568,24.77732877102,1214.12922141291,7.19153755722727,7.19932868845724,7.34792911749263,9.88668555240793,10,8.2520433951587,16,"Chestnut Street","Bridge to Broad",NA
"17","258111",850.202332313877,3330.64751425905,7.45055851469446,2.77116003214057,7.55477667456931,11.0501393344778,240,11.5413029536967,3.19666666666667,10.4,18.84,15.53,3.08930697620527,3.91747633200969,3917.47633200969,0.414640992364847,"49, LUCYGR, 30, 42","SEPTA21445, SEPTA20642, SEPTA30196, SEPTA32416, SEPTA21443, SEPTA21442, SEPTA21441, SEPTA21438",214.465390486738,18.266240175717,1330.7005314723,7.12902204964327,7.89055262241785,10,9.12181303116147,8.15690270337279,8.18434597275366,17,"33rd Street","Civic Center to Market",NA
"18","164121",2576.0556973162,11681.5838927198,10.6399968012461,7.99437427615308,10.1771194205388,13.7454849856117,561,10.955622500855,3.69230769230769,10.5454545454545,18.9090909090909,89.3,2.72698025572001,4.53467830873763,4534.67830873763,0.256295213867042,"26, 65, J, K","SEPTA5805, SEPTA15664, SEPTA15663, SEPTA15929, SEPTA21954, SEPTA497, SEPTA15920, SEPTA21228, SEPTA15665, SEPTA31000, SEPTA15668, SEPTA15924, SEPTA15669, SEPTA15923, SEPTA209, SEPTA213, SEPTA15666, SEPTA15925, SEPTA15670, SEPTA15922, SEPTA15671, SEPTA15921, SEPTA15926, NA, SEPTA496, SEPTA15660, SEPTA31669, SEPTA210, SEPTA15931, SEPTA21953, SEPTA15661, SEPTA15672",130.812809548934,34.6653995459162,1481.70012255787,8.25220598957525,8.78592328715042,6.25024779132199,4.87252124645892,10,8.14987844890403,18,"Chelten Avenue","Chew to Wissahickon",NA
"19","115111",2275.74761965483,7664.75664433606,5.9300450250583,2.61793232571457,6.02055246325974,8.51264441886012,445,9.62366568421236,1.98740740740741,8.20833333333333,19.4607142857143,64.88,2.2917807262649,3.36801698841218,3368.01698841218,0.386469363483858,"23, 61, 45","NA, SEPTA16839, SEPTA16840, SEPTA16838, SEPTA22248, SEPTA16841, SEPTA22044, SEPTA16851, SEPTA18437, SEPTA16850, SEPTA16849, SEPTA17855, SEPTA16846, SEPTA16847, SEPTA16845, SEPTA16842, SEPTA16843, SEPTA16844, SEPTA32173, SEPTA2456, SEPTA32331",118.137432865845,28.5093124736918,1110.7016033749,6.12911612962979,6.58604189444254,9.42479279687877,9.77337110481586,10,8.07855999372991,19,"11th Street","South to Spring Garden",NA
"20","123112",2466.38103701433,10295,8.90804661882373,7.40834261125061,8.60531914205897,10.8394650584713,419,14.550058135977,6.68241758241758,13.5,22.3818181818182,52.38,1.41222469930946,4.17413199562327,4174.13199562327,0.158533599984229,"40, 52","SEPTA769, SEPTA19028, SEPTA768, SEPTA21699, SEPTA557, SEPTA780, SEPTA767, SEPTA781, SEPTA21055, NA, SEPTA21749, SEPTA21695, SEPTA21694, SEPTA21748, SEPTA21722, SEPTA21757, SEPTA21692, SEPTA21751, SEPTA21693, SEPTA21752, SEPTA21721, SEPTA31270, SEPTA21700, SEPTA21744, SEPTA21745, SEPTA21698, SEPTA21746, SEPTA21747, SEPTA21696, SEPTA21697, SEPTA21750",196.544482626957,21.2375943594703,1546.91607738755,7.59608393591851,9.17262931997618,3.86614431148053,7.96033994334278,9.48377932061756,8.04143367598098,20,"52nd Street","Market to Parkside",NA
"21","267111",920.124119971379,5654.27658730159,10.2983868019004,8.45070665093164,9.98076862737493,13.1133636363636,244,17.3416438979964,6.025,16.6388888888889,28.0583333333333,13.07,2.21231251259582,6.14512375512715,6145.12375512715,0.214821268141489,"WCS, 703","SEPTA24436, SEPTA24538, SEPTA24539, SEPTA24435, NA, SEPTA24540, SEPTA24434, SEPTA24542, SEPTA24541, SEPTA20908, SEPTA24432, SEPTA24431, SEPTA24543, SEPTA24937",432.614888087344,14.2046053530328,2212.67376326642,10,10,5.23882649414933,5.60906515580737,6.34315451290997,7.94177508447208,21,"63rd Street","Lindbergh to Woodland",NA
"22","160121",907.113463254171,7401.81746031746,9.61022484256032,7.42511387436872,9.29138762749105,12.3398626356077,244,19.9954011351808,8.225,19.75,31.925,9.6,2.40524675935791,8.159748212494,8159.748212494,0.250279967301693,"WPS, 703","NA, SEPTA24516, SEPTA24464, SEPTA21406, SEPTA24465, SEPTA24515, SEPTA24517, SEPTA24463, SEPTA32181, SEPTA182, SEPTA197, SEPTA1391, SEPTA2449",771.022652116402,10.5830200839055,2922.82252773085,10,10,6.10355452697241,6.71388101983003,4.72591317653959,7.7836577374852,22,"56th Street","Chestnut to Haverford",NA
"23","209111",1447.83310675453,12385.639011412,15.39320329251,11.3995868522875,15.5391173501276,18.9165251308384,702,16.8929373124348,7,16.8333333333333,26.49,25.05,3.19773309994999,8.55460408636166,8554.60408636166,0.207736689965365,"14, 20, 88, 88S, 58","SEPTA21968, SEPTA21969, SEPTA21970, SEPTA22469, SEPTA22335, SEPTA22336, SEPTA22470, SEPTA326, SEPTA338, SEPTA22337, SEPTA1129, SEPTA23039, SEPTA23297, SEPTA22468, SEPTA1107, SEPTA30554, NA",494.436687082316,17.3017179142644,2244.41720023939,10,10,5.0660555382284,1.18980169971671,7.72618931264642,7.71352948290474,23,"Bustleton Avenue","BLVD to FTC",NA
"24","101112",1719.4450204122,5693.48923885282,5.36256242657978,3.77804493358098,4.89227460856952,7.42426823616619,349,8.55498661840584,4.34857142857143,8.44444444444444,13.3777777777778,51.71,1.66621463089451,3.31123657416387,3311.23657416387,0.310712397982696,"9, 21, 42, 12","NA, SEPTA20972, SEPTA14880, SEPTA20973, SEPTA14881, SEPTA16132, SEPTA14886, SEPTA14885, SEPTA14887, SEPTA130, SEPTA14882, SEPTA14884, SEPTA14883",110.104220438074,30.0736571313013,1015.02784602971,6.02578715177317,6.01873257197506,7.57731465182635,9.91501416430595,10,7.69767103295359,24,"Walnut Street","Broad to 2nd",NA
"25","235111",1204.98673033966,4434.19187114691,10.6071705452235,6.82644147801612,11.1005130758534,13.2296253078781,227,10.045581014187,4.53095238095238,9.5,15.8571428571429,27.14,2.39959896200766,3.67986780227613,3679.86780227613,0.226224227448498,"75, 89, J, K","SEPTA17621, SEPTA17616, SEPTA17622, NA, SEPTA17623, SEPTA24574, SEPTA17615, SEPTA220, SEPTA32159",163.382161796128,22.5230696045506,1356.19781902131,6.69662213089639,8.04174192788225,5.51690941324802,4.98583569405099,10,7.49743415310704,25,"Arrott Street","Arrott TC to Castor Ave.",NA
