Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
Bustleton Av & Bleigh Av - Shelter 227 - Legacy,23100,Bustleton Av & Bleigh Av - Shelter 227,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Bleigh Av - Shelter 227 - Legacy,01/01/2001,,,
Bustleton Av & Glendale Av - FS - Shelter 161 - Legacy,23281,Bustleton Av & Glendale Av - FS - Shelter 161,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Glendale Av - FS - Shelter 161 - Legacy,01/01/2001,,,
Bustleton Av & Hellerman St - Shelter 139,23293,Bustleton Av & Hellerman St - Shelter 139,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Hellerman St - Shelter 139,01/01/2001,,,
Bustleton Av & Hendrix St - Shelter 228 - Legacy,23239,Bustleton Av & Hendrix St - Shelter 228,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Hendrix St - Shelter 228 - Legacy,01/01/2001,,,
Bustleton Av & Lawler St - Shelter 289 - Legacy,23243,Bustleton Av & Lawler St - Shelter 289,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Lawler St - Shelter 289 - Legacy,01/01/2001,,,
Bustleton Av & Rhawn St - Shelter 102,23278,Bustleton Av & Rhawn St - Shelter 102,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Rhawn St - Shelter 102,01/01/2001,,,
Bustleton Av & Rhawn St - Shelter 40,23107,Bustleton Av & Rhawn St - Shelter 40,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Rhawn St - Shelter 40,01/01/2001,,,
Bustleton Av & Solly Av - Shelter 138 - Legacy,23109,Bustleton Av & Solly Av - Shelter 138,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Solly Av - Shelter 138 - Legacy,01/01/2001,,,
Bustleton Av & Tomlinson Rd - Shelter 244 - Legacy,878,Bustleton Av & Tomlinson Rd - Shelter 244,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Tomlinson Rd - Shelter 244 - Legacy,01/01/2001,,,
Bustleton Av & Tyson Av - Shelter 79 - Legacy,23289,Bustleton Av & Tyson Av - Shelter 79,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Bustleton Av & Tyson Av - Shelter 79 - Legacy,01/01/2001,,,
Castor Av & Everett Av - Shelter 88 - Legacy,20449,Castor Av & Everett Av - Shelter 88,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Castor Av & Everett Av - Shelter 88 - Legacy,01/01/2001,,,
Castor Av & Faunce St - Shelter 230,20472,Castor Av & Faunce St - Shelter 230,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Castor Av & Faunce St - Shelter 230,01/01/2001,,,
Castor Av & Hoffnagle St - Shelter 160,20463,Castor Av & Hoffnagle St - Shelter 160,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Castor Av & Hoffnagle St - Shelter 160,01/01/2001,,,
Cecil B Moore Av & Broad St - Shelter 18 - Legacy,58,Cecil B Moore Av & Broad St - Shelter 18,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Cecil B Moore Av & Broad St - Shelter 18 - Legacy,01/01/2001,,,
Chelten Av & Germantown Av - FS - Shelter 2027 - Legacy,5805,Chelten Av & Germantown Av - FS - Shelter 2027,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Chelten Av & Germantown Av - FS - Shelter 2027 - Legacy,01/01/2001,,,
Chelten Av & Germantown Av - Shelter 2026 - Legacy,15664,Chelten Av & Germantown Av - Shelter 2026,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Chelten Av & Germantown Av - Shelter 2026 - Legacy,01/01/2001,,,
Chestnut St & 20th St - Shelter CH20 - Legacy,6064,Chestnut St & 20th St - Shelter CH20,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Chestnut St & 20th St - Shelter CH20 - Legacy,01/01/2001,,,
Chestnut St & 32nd St - Shelter 234,21356,Chestnut St & 32nd St - Shelter 234,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Chestnut St & 32nd St - Shelter 234,01/01/2001,,,
Chestnut St & 40th St - Shelter 638 - Legacy,421,Chestnut St & 40th St - Shelter 638,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Chestnut St & 40th St - Shelter 638 - Legacy,01/01/2001,,,
Chestnut St & Broad St - Shelter AA01 - Legacy,6115,Chestnut St & Broad St - Shelter CH14,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Chestnut St & Broad St - Shelter AA01 - Legacy,01/01/2001,,,
City Av & Presidential Blvd - Shelter 260 - Legacy,699,City Av & Presidential Blvd - Shelter 260,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,City Av & Presidential Blvd - Shelter 260 - Legacy,01/01/2001,,,
Columbus Blvd & Dock St - Shelter 552,30892,Columbus Blvd & Dock St - Shelter 552,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Columbus Blvd & Dock St - Shelter 552,01/01/2001,,,
Conshohocken Av & E Country Club - - Shelter 312,22304,Conshohocken Av & E Country Club - - Shelter 312,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Conshohocken Av & E Country Club - - Shelter 312,01/01/2001,,,
COP-Chestnut St & 12th St SW-PN53,6058,COP-Chestnut St & 12th St SW-PN53,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,COP-Chestnut St & 12th St SW-PN53,01/01/2001,,,
Cottman Av & Loretto Av - Shelter 168 - Legacy,6461,Cottman Av & Loretto Av - Shelter 168,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Cottman Av & Loretto Av - Shelter 168 - Legacy,01/01/2001,,,
Erie Av & A St - Shelter 517 - Legacy,18146,Erie Av & A St - Shelter 517,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Erie Av & A St - Shelter 517 - Legacy,01/01/2001,,,
Erie Av & Kensington Av - FS - Shelter 86 - Legacy,827,Erie Av & Kensington Av - FS - Shelter 86,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Erie Av & Kensington Av - FS - Shelter 86 - Legacy,01/01/2001,,,
Erie Av & St Chris Dr - MBFS Legacy,18146,Erie Av & St Chris Dr - MBFS,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Erie Av & St Chris Dr - MBFS Legacy,01/01/2001,,,
Erie Ave & St Chris Dr FS Legacy,18197,Erie Ave & St Chris Dr FS,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Erie Ave & St Chris Dr FS Legacy,01/01/2001,,,
Ford Rd & Cranston Rd - FS - Shelter 279,22311,Ford Rd & Cranston Rd - FS - Shelter 279,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ford Rd & Cranston Rd - FS - Shelter 279,01/01/2001,,,
Frankford Av & Allegheny Av - Shelter 2049,24143,Frankford Av & Allegheny Av - Shelter 2049,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Frankford Av & Allegheny Av - Shelter 2049,01/01/2001,,,
Frankford Av & Knorr St - Shelter 779 - Legacy,21824,Frankford Av & Knorr St - Shelter 779,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Frankford Av & Knorr St - Shelter 779 - Legacy,01/01/2001,,,
Frankford Av & Wellington St - Shelter 155 - Legacy,21828,Frankford Av & Wellington St - Shelter 155,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Frankford Av & Wellington St - Shelter 155 - Legacy,01/01/2001,,,
Germantown Av &  Haines St - Shelter 487 - Legacy,15652,Germantown Av &  Haines St - Shelter 487,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Germantown Av &  Haines St - Shelter 487 - Legacy,01/01/2001,,,
Germantown Av & Chelten Av - Shelter 307 - Legacy,949,Germantown Av & Chelten Av - Shelter 307,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Germantown Av & Chelten Av - Shelter 307 - Legacy,01/01/2001,,,
Germantown Av & Erie Av - Shelter 156,31613,Germantown Av & Erie Av - Shelter 156,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Germantown Av & Erie Av - Shelter 156,01/01/2001,,,
Germantown Av & Tioga St - Shelter 130 - Legacy,16884,Germantown Av & Tioga St - Shelter 130,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Germantown Av & Tioga St - Shelter 130 - Legacy,01/01/2001,,,
Germantown Pk & Rodgers Dr - Shelter 207 - Legacy,30718,Germantown Pk & Rodgers Dr - Shelter 207,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Germantown Pk & Rodgers Dr - Shelter 207 - Legacy,01/01/2001,,,
Girard Av & 8th St - Shelter 72,20999,Girard Av & 8th St - Shelter 72,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Girard Av & 8th St - Shelter 72,01/01/2001,,,
Haverford Av & Overbrook Av - Shelter 2016 - Legacy,30349,Haverford Av & Overbrook Av - Shelter 2016,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Haverford Av & Overbrook Av - Shelter 2016 - Legacy,01/01/2001,,,
Haverford Av & Woodbine Av - Shelter 2017 - Legacy,19532,Haverford Av & Woodbine Av - Shelter 2017,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Haverford Av & Woodbine Av - Shelter 2017 - Legacy,01/01/2001,,,
Hunting Park Av & Stokely St - Shelter 247,18272,Hunting Park Av & Stokely St - Shelter 247,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Hunting Park Av & Stokely St - Shelter 247,01/01/2001,,,
Hunting Park Av & Stokely St - Shelter 248 - Legacy,22400,Hunting Park Av & Stokely St - Shelter 248,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Hunting Park Av & Stokely St - Shelter 248 - Legacy,01/01/2001,,,
JFK Blvd & 17th St - Shelter 24,8936,JFK Blvd & 17th St NE,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,JFK Blvd & 17th St - Shelter 24,01/01/2001,,,
JFK Blvd & 20th St - Shelter 263 - Legacy,8941,JFK Blvd & 20th St - Shelter 263,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,JFK Blvd & 20th St - Shelter 263 - Legacy,01/01/2001,,,
Lancaster Av & 41st St - Shelter 137,20634,Lancaster Av & 41st St - Shelter 137,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lancaster Av & 41st St - Shelter 137,01/01/2001,,,
Lansdowne Av & 75th St - FS - Shelter 2018 - Legacy,21484,Lansdowne Av & 75th St - FS - Shelter 2018,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lansdowne Av & 75th St - FS - Shelter 2018 - Legacy,01/01/2001,,,
Lehigh Av & 22nd St - Shelter 500 - Legacy,20598,Lehigh Av & 22nd St - Shelter 500,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lehigh Av & 22nd St - Shelter 500 - Legacy,01/01/2001,,,
Lehigh Av & Front St - Shelter 276 - Legacy,9377,Lehigh Av & Front St - Shelter 276,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lehigh Av & Front St - Shelter 276 - Legacy,01/01/2001,,,
Lehigh Av & Germantown Av - FS SE Legacy,9378,Lehigh Av & Germantown Av - FS SE,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lehigh Av & Germantown Av - FS SE Legacy,01/01/2001,,,
Lehigh Av & Germantown Av - Shelter 229 - Legacy,20519,Lehigh Av & Germantown Av - Shelter 229,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lehigh Av & Germantown Av - Shelter 229 - Legacy,01/01/2001,,,
Lehigh Av & Glenwood Av - FS - Shelter 783 - Legacy,20525,Lehigh Av & Glenwood Av - FS - Shelter 783,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lehigh Av & Glenwood Av - FS - Shelter 783 - Legacy,01/01/2001,,,
Lehigh Av & Lawrence St - Shelter 275 - Legacy,9380,Lehigh Av & Lawrence St - Shelter 275,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lehigh Av & Lawrence St - Shelter 275 - Legacy,01/01/2001,,,
Lindbergh Blvd & 69th St - Shelter 732,29391,Lindbergh Blvd & 69th St - Shelter 732,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lindbergh Blvd & 69th St - Shelter 732,01/01/2001,,,
Lindbergh Blvd & 78th St - Shelter 220 - Legacy,24947,Lindbergh Blvd & 78th St - Shelter 220,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lindbergh Blvd & 78th St - Shelter 220 - Legacy,01/01/2001,,,
Lindbergh Blvd & 80th St - Shelter 219 - Legacy,19559,Lindbergh Blvd & 80th St - Shelter 219,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lindbergh Blvd & 80th St - Shelter 219 - Legacy,01/01/2001,,,
Lombard St & 12th St - Shelter 66 - Legacy,22267,Lombard St & 12th St - Shelter 66,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lombard St & 12th St - Shelter 66 - Legacy,01/01/2001,,,
Lombard St & 17th St - Shelter 103 - Legacy,22271,Lombard St & 17th St - Shelter 103,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lombard St & 17th St - Shelter 103 - Legacy,01/01/2001,,,
Lombard St & 8th St - Shelter 15 - Legacy,22263,Lombard St & 8th St - Shelter 15,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Lombard St & 8th St - Shelter 15 - Legacy,01/01/2001,,,
Market St & 10th St - MBFS Legacy,17833,Market St & 10th St - MBFS,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Market St & 10th St - MBFS Legacy,01/01/2001,,,
Market St & 11th St - MBNS - Shelter 1002 Legacy,10259,Market St & 11th St - MBNS - Shelter 1002,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Market St & 11th St - MBNS - Shelter 1002 Legacy,01/01/2001,,,
Market St & 5th St - Shelter 114 - Legacy,3582,Market St & 5th St - Shelter 114,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Market St & 5th St - Shelter 114 - Legacy,01/01/2001,,,
Market St & Schuylkill Av - FS - Shelter 254,30577,Market St & Schuylkill Av - FS - Shelter 254,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Market St & Schuylkill Av - FS - Shelter 254,01/01/2001,,,
Market St & Schuylkill Av SW Legacy,21529,Market St & Schuylkill Av SW,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Market St & Schuylkill Av SW Legacy,01/01/2001,,,
Moyamensing Av & 16th St - Shelter 751,24615,Moyamensing Av & 16th St - Shelter 751,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Moyamensing Av & 16th St - Shelter 751,01/01/2001,,,
Ogontz Av & 74th Av - Shelter 92 - Legacy,11111,Ogontz Av & 74th Av - Shelter 92,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ogontz Av & 74th Av - Shelter 92 - Legacy,01/01/2001,,,
Old Lancaster Rd & City Line Av - Shelter 125,30592,Old Lancaster Rd & City Line Av - Shelter 125,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Old Lancaster Rd & City Line Av - Shelter 125,01/01/2001,,,
Old York Rd & Champlost Av - Shelter 170,11217,Old York Rd & Champlost Av - Shelter 170,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Old York Rd & Champlost Av - Shelter 170,01/01/2001,,,
Old York Rd & Medary Av - Shelter 2001 - Legacy,17573,Old York Rd & Medary Av - Shelter 2001,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Old York Rd & Medary Av - Shelter 2001 - Legacy,01/01/2001,,,
Old York Rd & Stenton Av - Shelter 198 - Legacy,21221,Old York Rd & Stenton Av - Shelter 198,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Old York Rd & Stenton Av - Shelter 198 - Legacy,01/01/2001,,,
Olney Av & 18th St - MBNS - Shelter 122 - Legacy,15791,Olney Av & 18th St - MBNS - Shelter 122,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Olney Av & 18th St - MBNS - Shelter 122 - Legacy,01/01/2001,,,
Oregon Av & 20th St - FS - Shelter 43 - Legacy,96,Oregon Av & 20th St - FS - Shelter 43,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Oregon Av & 20th St - FS - Shelter 43 - Legacy,01/01/2001,,,
Oregon Av & 21st St - FS - Shelter 44,95,Oregon Av & 21st St - FS - Shelter 44,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Oregon Av & 21st St - FS - Shelter 44,01/01/2001,,,
Oregon Av & 5th St - Shelter 684,16496,Oregon Av & 5th St - Shelter 684,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Oregon Av & 5th St - Shelter 684,01/01/2001,,,
Parkside Av & 49th St - Shelter 249,21726,Parkside Av & 49th St - Shelter 249,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Parkside Av & 49th St - Shelter 249,01/01/2001,,,
Passyunk Av & 19th St - Shelter 154,24922,Passyunk Av & 19th St - Shelter 154,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Passyunk Av & 19th St - Shelter 154,01/01/2001,,,
Pattison Av & 20th St - Shelter 812,17350,Pattison Av & 20th St - Shelter 812,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Pattison Av & 20th St - Shelter 812,01/01/2001,,,
Pattison Av & Lawrence St - Shelter 811,24560,Pattison Av & Lawrence St - Shelter 811,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Pattison Av & Lawrence St - Shelter 811,01/01/2001,,,
Red Lion Rd & Roosevelt Blvd - Shelter BLVD2095,30200,Red Lion Rd & Roosevelt Blvd - Shelter BLVD2095,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Red Lion Rd & Roosevelt Blvd - Shelter BLVD2095,01/01/2001,,,
Rhawn Street & Rowland Ave,,Rhawn Street & Rowland Ave,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Rhawn Street & Rowland Ave,01/01/2001,,,
Ridge Av & Cathedral Rd - FS - Shelter 845 - Legacy,19281,Ridge Av & Cathedral Rd - FS - Shelter 845,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ridge Av & Cathedral Rd - FS - Shelter 845 - Legacy,01/01/2001,,,
Ridge Av & Cumberland St - Shelter 183,18407,Ridge Av & Cumberland St - Shelter 183,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ridge Av & Cumberland St - Shelter 183,01/01/2001,,,
Ridge Av & Domino Ln - FS - Shelter 195 - Legacy,907,Ridge Av & Domino Ln - FS - Shelter 195,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ridge Av & Domino Ln - FS - Shelter 195 - Legacy,01/01/2001,,,
Ridge Av & Green Ln - Shelter 187 - Legacy,12275,Ridge Av & Green Ln - Shelter 187,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ridge Av & Green Ln - Shelter 187 - Legacy,01/01/2001,,,
Ridge Av & Lincoln Dr  - FS - Shelter 837,2,Ridge Av & Lincoln Dr  - FS - Shelter 837,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ridge Av & Lincoln Dr  - FS - Shelter 837,01/01/2001,,,
Ridge Av & Shurs Ln - Shelter 105 - Legacy,31281,Ridge Av & Shurs Ln - Shelter 105,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Ridge Av & Shurs Ln - Shelter 105 - Legacy,01/01/2001,,,
Rising Sun Av & Cottman Av - Shelter 119,15874,Rising Sun Av & Cottman Av - Shelter 119,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Rising Sun Av & Cottman Av - Shelter 119,01/01/2001,,,
Rising Sun Av & Unruh Av - Shelter 90 - Legacy,16435,Rising Sun Av & Unruh Av - Shelter 90,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Rising Sun Av & Unruh Av - Shelter 90 - Legacy,01/01/2001,,,
Roosevelt Blvd & Hornig Rd - Shelter 278,22766,Roosevelt Blvd & Hornig Rd - Shelter 278,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Roosevelt Blvd & Hornig Rd - Shelter 278,01/01/2001,,,
Roosevelt Blvd & Langdon St - Shelter 310,23319,Roosevelt Blvd & Langdon St - Shelter 310,,Static Bus Shelter,7,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Roosevelt Blvd & Langdon St - Shelter 310,01/01/2001,,,
Schuylkill Av & JFK Blvd NE Legacy,30576,Schuylkill Av & JFK Blvd NE,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Schuylkill Av & JFK Blvd NE Legacy,01/01/2001,,,
Spring Garden St & 8th St - FS - Shelter 282 - Legacy,18439,Spring Garden St & 8th St - FS - Shelter 282,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Spring Garden St & 8th St - FS - Shelter 282 - Legacy,01/01/2001,,,
Spring Garden St & 8th St - Shelter 724 - Legacy,22041,Spring Garden St & 8th St - Shelter 724,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Spring Garden St & 8th St - Shelter 724 - Legacy,01/01/2001,,,
Spruce St & 38th St - Shelter 286 - Legacy,22129,Spruce St & 38th St - Shelter 286,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Spruce St & 38th St - Shelter 286 - Legacy,01/01/2001,,,
Spruce St & 60th St - FS - Shelter 518 - Legacy,670,Spruce St & 60th St - FS - Shelter 518,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Spruce St & 60th St - FS - Shelter 518 - Legacy,01/01/2001,,,
State Rd & Rhawn St - Shelter 592,1019,State Rd & Rhawn St - Shelter 592,,Static Bus Shelter,6,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,State Rd & Rhawn St - Shelter 592,01/01/2001,,,
Stenton Av & Mt Pleasant Av - Shelter 565,18463,Stenton Av & Mt Pleasant Av - Shelter 565,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Stenton Av & Mt Pleasant Av - Shelter 565,01/01/2001,,,
Tasker St & Broad St - Shelter 23,546,Tasker St & Broad St - Shelter 23,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Tasker St & Broad St - Shelter 23,01/01/2001,,,
University Av & Baltimore Av - MBFS - Shelter 46 - Legacy,21435,University Av & Baltimore Av - MBFS - Shelter 46,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,University Av & Baltimore Av - MBFS - Shelter 46 - Legacy,01/01/2001,,,
Verree Rd & Susquehanna Rd - Shelter 245,22972,Verree Rd & Susquehanna Rd - Shelter 245,,Static Bus Shelter,10,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Verree Rd & Susquehanna Rd - Shelter 245,01/01/2001,,,
Vine St & 19th St - Shelter 135 - Legacy,1321,Vine St & 19th St - Shelter 135,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Vine St & 19th St - Shelter 135 - Legacy,01/01/2001,,,
Walnut Ln & Henry Av - Shelter 534,951,Walnut Ln & Henry Av - Shelter 534,,Static Bus Shelter,4,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Walnut Ln & Henry Av - Shelter 534,01/01/2001,,,
Walnut St & 10th St - Shelter WA10,14884,Walnut St & 10th St - Shelter WA10,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Walnut St & 10th St - Shelter WA10,01/01/2001,,,
Walnut St & 39th St - Shelter 639 - Legacy,21364,Walnut St & 39th St - Shelter 639,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Walnut St & 39th St - Shelter 639 - Legacy,01/01/2001,,,
Walnut St & 8th St - Shelter WA08 - Legacy,14882,Walnut St & 8th St - Shelter WA08,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Walnut St & 8th St - Shelter WA08 - Legacy,01/01/2001,,,
Walnut St & Broad St - MBNS - Shelter WA14 - Legacy,130,Walnut St & Broad St - MBNS - Shelter WA14,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Walnut St & Broad St - MBNS - Shelter WA14 - Legacy,01/01/2001,,,
Weccacoe Av & Wolf St - MBNS - Shelter 309 - Legacy,30090,Weccacoe Av & Wolf St - MBNS - Shelter 309,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Weccacoe Av & Wolf St - MBNS - Shelter 309 - Legacy,01/01/2001,,,
Woodland Av & 50th St - Shelter 519,317,Woodland Av & 50th St - Shelter 519,,Static Bus Shelter,3,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Woodland Av & 50th St - Shelter 519,01/01/2001,,,
