Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
COP-Walnut St & 11th-PBS1,14885,COP-Walnut St & 11th-PBS1,,IxNSight Single Bus Shelter,1,New Design & Install,Philly Bus Shelter - Digital - FY1,Live,Completed,COP-Walnut St & 11th-PBS1,01/01/2016,,City Lighting,221985
COP-Walnut St & 16th-PBS1,14080,COP-Walnut St & 16th-PBS1,,IxNSight Single Bus Shelter,2,New Design & Install,Philly Bus Shelter - Digital - FY1,Live,Completed,COP-Walnut St & 16th-PBS1,01/01/2016,,City Lighting,221294
Cecil B Moore Av & Broad St - Shelter 481,53,Cecil B Moore Av & Broad St - Shelter 481,,Static Bus Shelter,5,New Design & Install,Philly Bus Shelter - Static - FY1,Live,Completed,Cecil B Moore Av & Broad St - Shelter 481,11/16/2015,Standard,City Lighting,327748
Broad St & Arch St - Shelter 215,5131,Broad St & Arch St - Shelter 215,,Static Bus Shelter,5,New Design & Install,Philly Bus Shelter - Static - FY1,Live,Completed,Broad St & Arch St - Shelter 215,06/18/2015,,,no as built
11th St & Girard Av - Shelter 67,1185,11th St & Girard Av - Shelter 67,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,11th St & Girard Av - Shelter 67,01/01/2001,,,
11th St & Locust St - Shelter 96 - Legacy,16842,11th St & Locust St - Shelter 96,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,11th St & Locust St - Shelter 96 - Legacy,01/01/2001,,,
11th St & Lombard St - Shelter 166 - Legacy,16839,11th St & Lombard St - Shelter 166,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,11th St & Lombard St - Shelter 166 - Legacy,01/01/2001,,,
11th St & Zinkoff Blvd - FS - Shelter 810,21349,11th St & Zinkoff Blvd - FS - Shelter 810,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,11th St & Zinkoff Blvd - FS - Shelter 810,01/01/2001,,,
12th St & Market St - Shelter 2005 - Legacy,756,12th St & Market St - Shelter 2005,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,12th St & Market St - Shelter 2005 - Legacy,01/01/2001,,,
12th St & Walnut St - Shelter 36 - Legacy,16132,12th St & Walnut St - Shelter 36,,Static Bus Shelter,1,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,12th St & Walnut St - Shelter 36 - Legacy,01/01/2001,,,
