stop_id,stop_name,FALSE,TRUE,over_2,under_2,total,pct_over_2,stop_lat,stop_lon,ons,offs,Project.Planning
SEPTA15649,Germantown Av & Walnut Ln,110,NA,0,110,110,0,40.040638,-75.178878,162.74600954600956,62.4954933954934,NA
SEPTA15660,Pulaski Av & Chelten Av - 2,106,NA,0,106,106,0,40.030404,-75.180368,94.21457918586403,6.421780485596275,NA
SEPTA15665,Chelten Av & Kenyon St,222,NA,0,222,222,0,40.036549,-75.173891,184.17256654164547,21.604469434074694,NA
SEPTA15668,Chelten Av & Morton St,199,NA,0,199,199,0,40.040486,-75.169869,112.33607177136588,39.80075163914174,NA
SEPTA15672,Chelten Av & Knox St,217,NA,0,217,217,0,40.032808,-75.177711,197.66602826997564,54.300512937355045,NA
SEPTA15697,Olney Av & Front St,216,NA,0,216,216,0,40.035236,-75.121545,156.18454409448208,497.8594267795058,NA
SEPTA15701,Germantown Av & Coulter St,107,NA,0,107,107,0,40.03316,-75.170746,135.98815628815626,39.125777000777,NA
SEPTA15705,Germantown Av & Manheim St,126,NA,0,126,126,0,40.03024,-75.165626,99.77509157509155,65.31804861804862,NA
SEPTA15706,Germantown Av & Seymour St,116,NA,0,116,116,0,40.029254,-75.163892,122.08317238317237,57.06607281607282,NA
SEPTA15707,Germantown Av & Logan St,118,NA,0,118,118,0,40.028341,-75.162382,136.18006438006438,67.61928904428905,NA
SEPTA15718,Germantown Av & Hunting Park Av,118,NA,0,118,118,0,40.016006,-75.154001,127.85306360306359,168.63845043845043,NA
SEPTA15776,Bridge St & Jackson St,165,NA,0,165,165,0,40.015869,-75.071371,112.04159451659451,11.461544011544012,NA
SEPTA15798,Olney Av & 11th St,225,NA,0,225,225,0,40.037867,-75.139564,92.20777848440072,76.34330755113508,NA
SEPTA15803,Bridge St & Darrah St,156,NA,0,156,156,0,40.022541,-75.076161,109.41780719280719,2.4410256410256417,NA
SEPTA15899,Olney Av & Mascher St,211,NA,0,211,211,0,40.035634,-75.123695,172.91251545020904,55.53451438825933,NA
SEPTA15907,Olney Av & 11th St,222,NA,0,222,222,0,40.037929,-75.13941,87.88449442896942,61.52876115890459,NA
SEPTA15913,Olney Av & Ogontz Av,209,NA,0,209,209,0,40.039041,-75.149798,130.04658788700192,538.6923321466942,NA
SEPTA15996,33rd St & Huntingdon St,136,NA,0,136,136,0,39.996186,-75.18532,88.7585100076598,58.542112906658296,NA
SEPTA16087,Germantown Av & Allegheny Av,116,NA,0,116,116,0,40.001097,-75.148292,101.6387334887335,216.85209790209788,NA
SEPTA16101,Germantown Av & Huntingdon St,121,NA,0,121,121,0,39.991601,-75.148376,83.90048562548562,108.53115495615495,NA
SEPTA16129,12th St & Race St,230,NA,0,230,230,0,39.955889,-75.15911,138.1674186924187,97.13700743700738,NA
SEPTA16212,Dauphin St & 29th St,136,NA,0,136,136,0,39.990963,-75.18015,157.64586318823936,30.69545859197562,NA
SEPTA16237,5th St & Spencer St,106,NA,0,106,106,0,40.044205,-75.128908,118.04730824730821,6.826370851370847,NA
SEPTA16247,5th St & Lindley Av,109,NA,0,109,109,0,40.028862,-75.132259,118.24528069969244,80.1791303467774,NA
SEPTA16253,5th St & Cayuga St,98,NA,0,98,98,0,40.018202,-75.134573,147.74207557148733,56.65389904213433,NA
SEPTA16257,5th St & Luzerne St,104,NA,0,104,104,0,40.012056,-75.135922,128.86640646934762,58.52260974319797,NA
SEPTA16497,Oregon Av & 6th St,299,NA,0,299,299,0,39.915243,-75.158083,197.91279814956283,22.15876623376623,NA
SEPTA16566,Pennsylvania Av & Spring Garden St - MBFS,218,NA,0,218,218,0,39.963689,-75.175745,91.2149898486613,36.55960868454275,NA
SEPTA16595,Old York Rd & Nedro Av,301,NA,0,301,301,0,40.042858,-75.144344,173.60179487955486,66.4587717342051,NA
SEPTA16711,Rising Sun Av & Hellerman St,104,NA,0,104,104,0,40.051169,-75.094195,81.44660268300511,28.73913339400579,NA
SEPTA16728,Rising Sun Av & Devereaux Av,100,NA,0,100,100,0,40.047198,-75.098033,93.02526611955713,48.436675870258775,NA
SEPTA16735,Rising Sun Av & Adams Av - MBNS,91,NA,0,91,91,0,40.039961,-75.108932,124.39859898860992,77.70238914099909,NA
SEPTA16843,11th St & Walnut St,242,NA,0,242,242,0,39.948579,-75.158913,111.87743139213728,391.11005905858843,NA
SEPTA16851,11th St & Spring Garden St,113,NA,0,113,113,0,39.961532,-75.1561,97.88790833349654,63.810316480904696,NA
